11;BAL11AS;BALAI LELANG TUNJUNGAN PT.;email1@email.com;;031-5322402;JASA LELANG;;subkontraktor;;2018-09-30;JL.TUNJUNGAN NO.86 - 88 LT2 GENTENG SURABAYA - 60275;031-5322402;SARI RISTYAWATI,S.H.,MKn;;;;JASA;JASA
12;BAN13AS;BANGUN PERKASA JAYA ENGINEERING PT.;email2@email.com;;031-8413855 , 8437376;MEKANIKAL & ELEKTRIKAL, PIPING, VALVE & SYSTEM PROPULSI;;subkontraktor;;2017-05-26;JL KERTO MENANGGAL VIII NO 5 SURABAYA.;031-8416478;BASOEKI WISWANTO;BPK. AGUS;031-71515971;;JASA;JASA
13;BDP01AS;BDP INDONESIA PT.;email3@email.com;;021-65311330 , 031-3559779;PENGURUSAN TRANSPORTASI MATERIAL HANDLING LAUT & UDARA,CUTOM CLEARANCE;;subkontraktor;;2017-04-28;PERKANTORAN JEMBATAN MERAH ARCADE JL.JEMBATAN MERAH NO.2 LT.1  SURABAYA.JL. YOS SUDARSO NO.88 JAKARTA;021-6531329 ,  031-3559776;Drs. ANAS JUNAEDI;;;;JASA;JASA
14;BLO06AS;BLORA SAMUDRA TEKNIK PT.;email4@email.com;;081231300911;ELECTRICAL SYSTEM,LABOAR SUPLY,CLEANING SERVICE;;subkontraktor;;2018-09-22;PERUM TNI AL JL.PADAS IV G.23/ 8 SUGIHWARAS CANDI SIDOARJO 61271;;ENDANG WIWIN;;;;JASA;JASA
15;BRO01AS;BROMO STEEL INDONESIA PT;email5@email.com;;0343-421074;KONSTRUKSI,PENGELASAN,SANDBLASTING,PEMIPAAN,BEJANA TEKAN,MACHINING,BALANCING,HEATTREATMENT,PERBAIKAN;;subkontraktor;;2018-11-15;JL LAKSAMANA RE .MARTADINATA 18-20 PASURUAN;0343-421797;UDIK SUPRAPTO, ST. MT.;AHMAD WICAKSONO;0343-421074;;JASA;JASA
16;BUD07AS;BUDI SETIAWAN KARYA UTAMA PT.;email6@email.com;;031-5026899;KONSTRUKSI KAPAL,REFRIGERATION& AC SYSTEM, PIPING SYSTEM;;subkontraktor;;2018-05-17;"JL. PUCANG ADI NO.135
SURABAYA.";031-5026899;MIRNA MIDIANA NASROEN;RORO;082332333023;;JASA;JASA
17;CAK06AS;CAKRA LINTAS INDONESIA PT.;email7@email.com;;031-3539151;PIPING, ELECTRICAL SYSTEM;;subkontraktor;;2017-08-27;JL. KUNIR 18 SURABAYA;031-3539151;MUCHAMAD NUR ROMADHON, S.T.;;;;JASA;JASA
18;CER02AS;CERINDO PRIMA LOGISTIK PT.;email8@email.com;;021-8629000 , 031-3571082;PENGURUSAN TRANSPORTASI & MATERIAL HANDLING;;subkontraktor;;2018-09-23;"JL. SEULAWAH RAYA, KOMPLEK
PURI SENTRA NIAGA B37
CIPINANG- JAKARTA TIMUR.";021-8603677 , 031-3521829;WAHYUDI GUNAWAN;;;;JASA;JASA
19;DAE12AS;DAE KWANG ENERGY PT.;email9@email.com;;021-75915358, 75915325;KONSTRUKSI KAPAL,PIPING,ELECTRICAL SYSTEM;;subkontraktor;;2018-09-27;JL. TEROGONG RAYA NO.18, CILANDAK BARAT CILANDAK JAKARTA SELATAN 12420;021-7699810;YEUN KWANG SOO;;;;JASA;JASA
20;DAL05AS;DALUT NUSANTARA BARU PT.;email10@email.com;;031-3556801;NDT ( NON DESTRUCTIVE TEST) NON RADIASI;;subkontraktor;;2017-06-08;JL. IKAN TONGKOL NO.32 TANJUNG PERAK SURABAYA.;031-3556801;DADANG HENDRAWAN,S.T.;DADANG HR;085733115070, 031-3556801;ddg_hendrawan@yahoo.co.id;JASA;JASA
21;DUA01AS;DUA-DUA KUTAI UTAMA PT.;email11@email.com;;0542-731416,031-3716876, 3281276;BOTTOM CLEANING & REPLATING ,PIPING,VALVE, PROPULSI;;subkontraktor;;2018-05-02;JL.ADIL MAKMUR RT.39 NO.45 BALIKPAPAN , JL. RANGKAH II/55 SURABAYA.;0542-731353, 031-3716876;WN. MULYADI;;;;JASA;JASA
22;DUA03AS;DUA MITRA LESTARI PT.;email12@email.com;;031-7411467;KONSTRUKSI KAPAL;;subkontraktor;;2018-10-04;PURI WIDYA KENCANA K-2/22 SURABAYA 60213;;WILLY SETIAWAN;JONO;;;JASA;JASA
23;DWI17AS;DWI KARYA JAYA PT.;email13@email.com;;031-3534820, 91085148;BOTTOM CLEANING DAN REPLATING;;subkontraktor;;2017-10-19;JL.PURWODADI II /88 SURABAYA;;SOEHARTO;SUMIRAN;031-70455055;;JASA;JASA
24;ECO04AS;ECOSTAR LABORATORIES PT.;email14@email.com;;021-55793664;JASA LABORATORIUM;;subkontraktor;;2018-10-04;KARAWACI OFFICE PARK B-19 PANUNGGANGAN BARAT,TANGERANG. 15139;021-55794585, 021-55776243;ELISABETH AJU JULIARTIE;;;;JASA;JASA
25;ETI03AS;ETIKA SEJAHTERA BERSAMA PT.;email15@email.com;;031-8075695;MAINTENANCE;;subkontraktor;;2018-01-14;JL.RAYA MANUKAN KULON NO.60 E-3 NO.RT.004 RW.010 MANUKON KULON TANDES SURABAYA;031-8075696;SAMSURI;SAMSURI;081331039451;;JASA;JASA
26;FAB02AS;FABILA TEKNIK SEJAHTERA PT.;email16@email.com;;021-8308618, 83796412;KONSTRUKSI KAPAL,PIPING,ELECTRICAL SYSTEM,SANBLASTING&PAINTING,UNDER WATER WORK,MAINTENANCE;;subkontraktor;;2018-09-06;JL.KAWI NO.40 GUNTUR SETIABUDI,JAKARTA SELATAN 12980;021-8308814;ALPHARINA;BUDI HARTONO;;;JASA;JASA
27;FAJ07AS;FAJAR ALIF MAKMUR PT.;email17@email.com;;031- 70078932;GENERAL SERVICE;;subkontraktor;;2017-08-28;JL. TANJUNGSARI JAYA 5/3, SURABAYA.;;KASAN;KASAN;081-357865009;;JASA;JASA
28;GAR04AS;GARBANTARA CITRA BUANA PT;email18@email.com;;031-3297983, 3291396;JASA PENGURUSAN TRANSPORTASI;;subkontraktor;;2018-09-05;"JL. PERAK TIMUR 428
SURABAYA";031-3291397;Drs. ANAS JUNAEDI;A.SAICHUDIN;081938455600;;JASA FORWADING;JASA
29;GEM14AS;GEMA KARYA NUSA PT.;email19@email.com;;08155164939;PIPING, VALVE, DAN SISTEM PROPULSI, GENERAL SERVICE;;subkontraktor;;2018-10-04;JL. SIDOTOPO LOR NO. 105 SURABAYA;;DRS.EC PURNAMA;;;;JASA;JASA
30;GIF01AS;GIFTSTARINDO PT.;email20@email.com;;031-8545790;NDT ATAU NON DESTRUCTIVE TEST;;subkontraktor;;2017-06-09;"JL. LETJEN SUTOYO 140A 
KAV 12B MEDAENG - WARU 
SIDOARJO.61256";031-8545791;TEGUH WIJAYANTO;PRIANTO;081-330340969;;JASA;JASA
31;GRE03AS;GRESIK DOCKING INDONESIA PT.;email21@email.com;;031-5932145;PENGERUKAN, PERBAIKAN KAPAL;;subkontraktor;;2018-10-03;JL. MEDOKAN SEMAMPIR INDAH 85 MEDOKAN SEMAMPIR - SUKOLILO SURABAYA;031-58258528;DODDY INDRARTA;DODDY INDRARTA;081332984950;dindrarta@yahoo.com;JASA;JASA
32;HAM07AS;HAMID JAYA MANDIRI PT.;email22@email.com;;081335320495 , 085732793151;KONSTRUKSI, PENGGERAK UTAMA ( MAIN PROPULSION & BANTU),POMPA & KOMPRESSOR, LABOUR SUPPLY;;subkontraktor;;2017-06-29;JL. BULAK BANTENG LOR BHINEKA 3/11, SURABAYA.;031-8917031;NUR HAMID;;;;JASA;JASA
33;IDT01AS;IDTEC MARINDO PT.;email23@email.com;;085731141813;KONSTRUKSI KAPAL,SAND BLASTING & PAINTING, PIPING , PROPULSI SYSTEM;;subkontraktor;;2017-08-27;RUKO HILDA REGENCY NO. 14, JAMBANGAN KEBON  AGUNG  SURABAYA.;;IRIANTO;Irianto;081-235956663;;JASA;JASA
34;IFB01AS;IFB INDONESIA  PT.;email24@email.com;;031-5670554, 5674539;JASA PENGURUSAN TRANSPORTASI ( FREIGHT FORWARDERS );;subkontraktor;;2018-09-07;GRAHA BUMI PUTERA LT.6 FLOOR ROOM 602 JL.RAYA DARMO 155 - 159, SURABAYA 60241;031-5674530;TUTY;CAHYA CHAIRANY;08165428238;;JASA;JASA
35;IND79AS;INDI PUTRA PT.;email25@email.com;;031-70488770;KONSTRUKSI KAPAL,ELEKTRIKAL SYSTEM,BOTTOM CLEANING & REPLATING;;subkontraktor;;2018-03-30;JL. WISMA KEDUNG ASEM INDAH E-27, RUNGKUT SURABAYA 60298;031-8701175;ADI PUTRA FIRMANTIKA, S.T.;ADI PUTRA;081-330692827;;JASA;JASA
36;IND86AS;INDRA KARYA ( PERSERO ) PT.;email26@email.com;;021-8520129, 0341-551311;JASA KONSULTAN MANAJEMEN KONSTRUKSI, JASA KONSULTAN PENGAWAS;;subkontraktor;;2018-12-15;JL.BIRU LAUT X 9,CIPINANG CEMPEDAK JATINEGARA JAKARTA TIMUR 13340;021-8192179, 0341-551463;DR.Ir.AGUS WIDODO,MBA, MT;;;;JASA;JASA
37;INT38AS;INTI SARANA BATAM PT.;email27@email.com;;0778-392029, 031-3284856;KONSTRUKSI KAPAL, PIPING, ELECTRICAL SYSTEM;;subkontraktor;;2017-12-04;KOMPLEKS RUKO PERMATA HIJAU JL. DIPONEGORO KM. 5 BATUAJI BATAM,JL.PERAK TIMUR NO.276B SURABAYA.;0778-392029, 031-3284856;SRI REJEKI MAGDALENA SARAGIH ,S.T.;;081268227062;isb@rumahkapalindonesia.com;JASA;JASA
38;INT39AS;INTI PRATAMA MULYASANTIKA PT.;email28@email.com;;0542-427575, 031-3532751;PPJK,  MATERIAL HANDLING;;subkontraktor;;2018-02-03;JL.MAY.SUTOYO NO.47 KLANDASAN ILIR BALIKPAPAN SELATAN BALIKPAPAN 76113,KALTIM, JL.TANJUNG LAYAR NO.4A SURABAYA;0542-427574, 031-3537356;ARLIANI BEKTI LESTARI,S.E.;;;;JASA;JASA
39;JAS12AS;JASTINDO RAYA PT.;email29@email.com;;031-7325474 , 031-7321957;SURFACE TREATMENT;;subkontraktor;;2018-04-14;JL.RAYA SUKOMANUNGGAL JAYA  SATELIT TOWN SQUARE A6 SURABAY;031-7343775;JASON KWAN;YOHANA;0816539111;;JASA;JASA
40;JAS14AS;JASA INTERNASIONAL MARITIM PT.;email30@email.com;;021-45858990;SEA TRIAL;;subkontraktor;;2019-02-09;"KOMP.PERKANTORAN DUTAMAS JL.RS. FATMAWATI NO.39 NO.BLOK C2/5 CIPETE UTARA
KEBAYORAN BARU JAKARTA SELATAN DKI JAKARTA RAYA 12150";021-45858991;CAPT.F.X.F.A. LUNTUNGAN;;;;JASA;JASA
41;JIM01AS;JIMBARAN ABADI PT.;email31@email.com;;031-7496290, 70915292;KONSTRUKSI KAPAL,PIPING SYSTEM,BOTTOM CLEANING & REPLATING;;subkontraktor;;2017-09-08;JL. SIMOREJO SARI A VI/96 SURABAYA;031-7494387;Drs. NJOTO BROTO KUNTJORO;HENDRIK;081252824262;;JASA;JASA
42;KAN46AS;KANAKA JAYA SHEIFA PT.;email32@email.com;;081216328661, 085645111002;JASA KONSTRUKSI,TANK CLEANING,AKOMODASI INTERIOR,PEKERJAAN LISTRIK,AC PENDINGIN & VENTILASI,POMPA & KOMPRESSOR;;subkontraktor;;2017-04-28;JL. RANGKA 6 NO.117 SURABAYA.;;BUDI WIBOWO;;;;JASA;JASA
43;KAR14AS;PBM KARYA PUTRA TUNGGAL PT.;email33@email.com;;031-3295366;TRANSPORTATION & MATERIAL HANDLING;;subkontraktor;;2017-05-07;JL. PRAPAT KURUNG POJOK NO.10 SURABAYA;031-3295366;PUTUT HENDRO CAHYONO, ST. MM.;;;;JASA;JASA
44;KAR27AS;KARYA SARIKA SEJAHTERA PT.;email34@email.com;;031-3298490, 3292275 pswt.4964 & 4965;SAND BLASTING, PENGECATAN & PENGGERAK UTAMA;;subkontraktor;;2019-04-13;JL.TARUNA  No. 66 - 68 , UJUNG,SURABAYA.;031-3298490;DJOKO SANTOSO;DJOKO SANTOSO;031-3298490;;JASA;JASA
45;KAR43AS;KARYA METAL SEMESTA PT.;email35@email.com;;031-5027966;KONSTRUKSI KAPAL, PIPING SYSTEM;;subkontraktor;;2017-11-03;JL.RAYA NGAGEL 179 - 183 SURABAYA.;031-5029961;ARTHUR RINOLD JOSEPH;ROBERT;0811309534;;JASA;JASA
46;KAR48AS;KARMACON PT.;email36@email.com;;031-5671713;JASA KONSULTAN BISNIS DAN MANAJEMEN;;subkontraktor;;2018-12-20;JL. MAYJEN SUNGKONO DARMO PARK II BLOK III/20 DUKUH PAKIS DUKUH PAKIS - SURABAYA;031-5631874;DRA.I.NOVIANINGTYASTUTI,PSI;;;;JASA;JASA
47;KAV01AS;KAVA JAYA MANDIRI PT.;email37@email.com;;031-3530710;JASA NDT, INSPEKSI DAN SERTIFIKASI;;subkontraktor;;2018-04-01;JL IKAN MUNGSING V NO.99 KEL.PERAK BARAT KEC.KREMBANGAN SURABAYA.;031-3530710;ZAIRIYAH,S.E.;DANAR;085731662283;kavajayamandiri@enginer.com;JASA;JASA
48;KEN03AS;KENCANA UTAMA PRIMA PT.;email38@email.com;;031-5670591 , 5686491;JASA CLEANING SERVICE, ADMINISTRSI (LABOUR SUPLLY ),CATERING;;subkontraktor;;2019-03-10;JL. KENCANA SARI TIMUR 7/H-22 SURABAYA.;;SOENINIK SOESAMTO;YAYAK;085-330025700;;JASA;JASA
49;KEN04AS;KENSHO JAYA MANDIRI PT.;email39@email.com;;082234177005;KONSTRUKSI KAPAL;;subkontraktor;;2018-09-23;PERUM TAMAN ALOHA H 7 NO.25 SUKO, SUKODONO KAB.SIDOARJO;;EDI SANTOSO;;;;JASA;JASA
50;KOP01AS;KOP. KELUARGA BESAR PT PAL;email40@email.com;;031-3297832;JASA LABOUR SUPPLY;;subkontraktor;;2019-03-27;JL.UJUNG SEMAMPIR SURABAYA;031-3297832;MUHAJIR;;;;JASA;JASA
51;LAN13AS;LANGGENG SEJAHTERA UTAMA PT.;email41@email.com;;031- 3930096;KONSTRUKSI,ELECTRICAL ,PIPING ,REFRIGERATOR & AC SYSTEM,MEKANIKAL & ELEKTRIKAL (HARKAN);;subkontraktor;;2017-06-08;JL. RAYA PONDOK PERMATA SUCI KAV.III/27 NO.49 SUCI - MANYAR - GRESIK.;031- 3930096;Drs. AHEMAT  ROFIK;AHCMAT ROFIK;081-8321027;;JASA;JASA
52;LAU03AS;LAUSER CAKRA ABADI PT.;email42@email.com;;081229519699, 081232084485;KONSTRUKSI KAPAL, PIPING, ELECTRICAL SYSTEM,;;subkontraktor;;2018-11-15;JL.DR.WAHIDIN SUDIROHUSODO RT.05 RW.08 DS. KEMBANGAN KEC.KEBOMAS KAB.GRESIK;;HERI SETYONO;;;;JASA;JASA
53;MAL03AS;MALINDO HUDA JAYA PT.;email43@email.com;;031-3710623 , 0858510245853;PIPING , VALVE DAN PROPULSI;;subkontraktor;;2017-10-05;JL. KEDUNG MANGU TIMUR 2/6 SURABAYA.;031-3710623;MIFTAHUL  HUDA;NOVI;083849608697;;JASA;JASA
54;MAT12AS;MATS INTERNASIONAL INDONESIA PT.;email44@email.com;;0315491177;PENGURUSAN TRANSPORTASI (FREIGHT FORWARDING);;subkontraktor;;2019-03-27;JLN. SUNAN GIRI NO.03 JAKARTA TIMUR-DKI JAKARTA;0315490077;SRIYONO BAHARIANTO;PRASETYO WIBOWO;0315491177;info@mii.id;FORWARDER;FORWARDER
55;MEK03AS;MEKAR JAYA NUSANTARA PT.;email45@email.com;;031-70455055/ 91085148;BOTTOM CLEANING & REPLATING;;subkontraktor;;2017-11-26;JL. SEDAYU V / 8, SURABAYA;;SUJUD;;031-70455055;;JASA;JASA
56;MIT04AS;MITRA PAL PT.;email46@email.com;;031- 3292814, 3287241;KONSTRUKSI KAPAL,PIPING,ELECTRICAL SYSTEM,ACCOMODASI,STEEL WORK OUTFITTING INSTALATION.;;subkontraktor;;2017-12-29;JL.HANGTUAH NO. 186 UJUNG  SURABAYA.;031- 3292814;Ir. MOCHAMMAD HARTO;TRI/ ZUL;4961/ 4963;;JASA;JASA
57;MIT52AS;MITRA KUALITAS UTAMA (PREMYSIS CONSULTING ) PT.;email47@email.com;;021-5762727, 031-5020203;TRAINING & KONSULTANSI STANDAR MANAJEMEN SERVICE;;subkontraktor;;2018-08-22;MENARA RAJAWALI LT.11 JL. MEGA KUNINGAN LOT 5.1 JAKARTA SELATAN 12950,JL.NGAGEL 179-183 SURABYA;021-5762736, 031-5039034;JOHANES EKO LAKSAMANA GUSTIAN;BAGUS;085857090548;;JASA;JASA
58;MUL36AS;MULYA BAHTERA MARINA INDUSTRI PT.;email48@email.com;;031-58209539;BOTTOM CLEANING & REPLATING;;subkontraktor;;2017-10-01;JL.RAYA TROSOBO KM 23 TAMAN SIDOARJO;031-58209567;BUDIONO;MICO;081-55004780;;JASA;JASA
59;NIT01AS;NITEKSINDO MULTITECH PERKASA PT.;email49@email.com;;031-5458501 , 5477970 , 5477648;SAND BLASTING & PAINTING;;subkontraktor;;2017-08-01;RUKO MUTIARA DUPAK JL. DUPAK NO.65 BLOK B - 19 SURABAYA;031-5453206;JACOBUS DJUANG;SONY;085732059694;;JASA;JASA
60;PAL01AS;PALINDO JAYA UTAMA PT.;email50@email.com;;031-3299489;KONSTRUKSI KPL,PIPING,ELECTRICAL ,SANDBLASTING & PAINTING,ACCOMODATION,BOTTOM CLEANING & REPLATING,MEKANIKAL & ELEKTRIKAL.;;subkontraktor;;2018-01-18;JL. TARUNA NO.68 UJUNG SURABAYA;031-3299489;Ir. KETUT  SUADI;;;;JASA;JASA
61;PAL04AS;PAL MARINE SERVICE PT.;email51@email.com;;031- 3297820 / 3286913;PENGANGKUTAN LAUT,PELAYARAN PENUNDAAN LAUT,PENYEWAAN KAPAL LAUT DAN ALAT PELAYARAN, SURAT- SURAT/ DOKUMEN KAPAL;;subkontraktor;;2018-03-14;GEDUNG BUM HARKAN Lt. 3 PT. PAL INDONESIA, JL. UJUNG SURABAYA - 60155;031- 3291361;R. BARGOWO;TONNY;4966;;JASA;JASA
62;PRE03AS;PREMYSIS CONSULTING PT.;email52@email.com;;021-5762727 , 031-8296996;PELATIHAN,TRAINING,SOFT SKILL;;subkontraktor;;2018-12-15; MENARA RAJAWALI LT.11 JL. MEGA KUNINGAN LOT 5.1 JAKARTA, GRAHA PENA LANTAI 10,JL.AHMAD YANI NO.88 SURABAYA.;021-5762736;JOHANES EKO LAKSAMANA GUSTIAN;JONNY GUNAWAN, KIKY;;;JASA;JASA
63;PRI01AS;PRIMA DWI NUSA PT.;email53@email.com;;031-3294224, 7405754;KONSTRUKSI KAPAL,PIPING,REFRIGERATION & AC SYSTEM,ACCOMODATION,JASA BAHARI,GENERAL SERVICE.;;subkontraktor;;2018-01-18;JL.SAMBIARUM LOR BLOK 54-B 66 II/17 SURABAYA;031-3294224, 7405754;Drs. H. SUPRAPTO;;;;JASA;JASA
64;REJ06AS;REJEKI SETIAKAWAN SEJATI PT.;email54@email.com;;031-99102720;KONSTRUKSI KAPAL,BOTTOM CLEANING DAN REPLATING.;;subkontraktor;;2017-12-23;SARMADA REGENCY NO.22 JL.PANGLIMA SUDIRMAN GRESIK;031-99102720;HELMI AMINULLAH;ASLIKAN;081231202327;;JASA;JASA
65;RES01AS;RESCONSTAT CV.;email55@email.com;;031-70123045, 081231326265, 083831057588;JASA PENILAI PUBLIK;;subkontraktor;;2019-01-17;"KALANGAN RT 003 RW 001 , JATIKALANG, KRIAN- SIDOARJO
 SIDOARJO JAWA TIMUR.";;FEBY ANDRIYANTO;Febi Andriyanto;081231326265;;JASA;JASA
66;RIW01AS;RIWANA PT.;email56@email.com;;031-3288732;CLEANING, SEKURITI;;subkontraktor;;2018-10-03;JL.PERAK TIMUR NO.252 SURABAYA;031-3288734;Drs.H.ACHMAD SOINI,MM;SATRIYO;031-3288732 , 082131452820;;JASA;JASA
67;ROC01AS;ROCKSTEEL INDONESIA PT.;email57@email.com;;031- 8545790;RENTAL MESIN LAS,PEMELIHARAAN & PERBAIKAN MESIN LAS;;subkontraktor;;2018-12-27;JL. LETJEN SUTOYO 140A KAV.12A WARU - SIDOARJO;031- 8545791;TEGUH WIJAYANTO;PRIANTO;085815670200;kat_stin@yahoo.com;JASA;JASA
68;SAR41AS;SARANABAJA PERKASA PT.;email58@email.com;;061- 6850720;TRANSPORTASI & MATERIAL HANDLING;;subkontraktor;;2017-12-29;JL. KOL. BEJO NO. 48, PULO BRAYAN DARAT II, MEDAN 20239;061- 6850719;HIDAYAT;Arif;081-332056245;;JASA;JASA
69;SAW03AS;SAWEGA ABDI SETIA PT.;email59@email.com;;031- 3719583;KONSTRUKSI KAPAL, PIPING ,REFRIGERATION & AC SYSTEM,PIPING VALVE DAN PROPULSI,MEKANIKAL DAN ELEKTRIKAL.;;subkontraktor;;2018-01-12;JL. TENGGUMUNG BARU SELATAN 63/B RT.003 RW.01 PEGIRIAN SEMAMPIR SURABAYA.;031- 3719583;BERRY WAHONO;;031-3285611, 08123589204;;JASA;JASA
70;SEM07AS;SEMESTA ELTRINDO PURA PT.;email60@email.com;;031-5311831, 8975365;LISTRIK & PANEL;;subkontraktor;;2017-04-20;JL. RAYA KEDURUS NO.54 ,SURABAYA;031-5315699, 8975364;HENRY  KUSNOHARDJO;;;;JASA;JASA
71;SPE02AS;SPEKTRA MEGAH SEMESTA PT.;email61@email.com;;031-8482303,  8413744, 8495662;NDT ATAU NON DESTRUCTIVE TEST;;subkontraktor;;2017-08-04;TENGGILIS UTARA 1/37 TENGGILIS MEJOYO SURABAYA.;031-8482304;DODDY MUHARRAM;;;;JASA;JASA
72;SUK02AS;SUKSES LAJU MANDIRI PT.;email62@email.com;;031-7401034;LAMINASI COLD WELDING MULTI METAL,FIBER GLASS,RUBBER COATING, DECK COVERING, DECK COATING;;subkontraktor;;2018-03-10;"JL. WISMA TENGGER VI /27, 
SURABAYA.";031-70417833;SUWARNO. S.H.;;;;JASA;JASA
73;SUK07AS;SUKSES ABADI PERSADA PT.;email63@email.com;;031-5038120;KONSTRUKSI KAPAL,SAND BLASTING,BANGUNAN SIPIL,ELEKTRIK SYSTEM;;subkontraktor;;2018-12-31;JL.KEJAWAN PUTIH TAMBAK MULYOREJO SURABAYA;;ANA PURWANINGSIH RAHAYU;;;;JASA;JASA
74;SUN06AS;SUNGGONG LOGISTIK PT.;email64@email.com;;021-29368989, 031-5349194;TRANSPORTATION & MATERIAL HANDLING;;subkontraktor;;2018-11-25;JL.PEMUDA NO.34 LT.3 RAWAMANGUN JAKARTA TIMUR ,RUKO TIDAR , JL.TIDAR NO.308-310 BLOK C-8 SURABAYA;021-29368998, 031-5347774;SANTO;;;;JASA;JASA
75;SUR17AS;SURVEYOR INDONESIA PT.;email65@email.com;;031-5681750,021-5265526;INSPECTION & TESTING, AUDIT SMK3;;subkontraktor;;2018-04-21;JL. COMAL NO. 7-9 SURABAYA, GRAHA SURVEYOR INDONESIA JL.GATOT SUBROTO KAV.56 JAKARTA 12950;031-5681749, 021-5265525;M.ARIF ZAINUDDIN;RIZKY RAHMADINI;031-5681750 EXT.109;;JASA;JASA
76;SUR44AS;SURYA SEGARA  SAFETY MARINE PT.;email66@email.com;;031-3293116, 3292021;MAINTENANCE LIFERAFT, FIRE SYSTEM & LIFEBOAT;;subkontraktor;;2017-10-09;JL. PERAK TIMUR NO.232 SURABAYA.;031-3291423;CUT IDRIANTY , S.E.;B.IKA;08155098270;;JASA;JASA
77;TER03AS;TERAFULK MEGANTARA DESIGN PT.;email67@email.com;;031-8298833;DESIGN, PELATIHAN TRAINING;;subkontraktor;;2018-10-04;JL. GAYUNGSARI BARAT VII/ NO. 20 GAYUNGAN SURABAYA 60239 - JAWA TIMUR.;031-8298855;DRS MUHAMMAD AZIZ;TRI HARIYANTO;031-8298833, 081357726800;;JASA DESIGN;JASA
